Primary Symptom,Q1,Q2,Q3,Q4,Q5,Q6,Urgency,Recommended Test 1,Test 1 Description,Recommended Test 2,Test 2 Description,Recommended Test 3,Test 3 Description,Recommended Test 4,Test 4 Description,Recommended Test 5,Test 5 Description,Recommended Test 6,Test 6 Description
Shortness of Breath,1,1,0,0,1,0,Soon,Chest X-Ray,An imaging scan of your chest to check the size of your heart and look for fluid in or around the lungs.,Spirometry,A breathing test where you blow into a device to measure how much air your lungs can hold and how fast you exhale.,BNP Test,A blood test that measures a hormone released by your heart when it is under strain — used to detect heart failure.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Pulse Oximetry,A simple clip placed on your finger to measure the oxygen level in your blood within seconds.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.
Shortness of Breath,1,1,1,1,1,1,Urgent,BNP Test,A blood test that measures a hormone released by your heart when it is under strain — used to detect heart failure.,Chest X-Ray,An imaging scan of your chest to check the size of your heart and look for fluid in or around the lungs.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,Spirometry,A breathing test where you blow into a device to measure how much air your lungs can hold and how fast you exhale.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,D-Dimer Test,A blood test that checks for abnormal blood clotting — often used to rule out a pulmonary embolism (clot in the lung).
Shortness of Breath,1,3,0,0,1,1,Urgent,Chest X-Ray,An imaging scan of your chest to check the size of your heart and look for fluid in or around the lungs.,Pulse Oximetry,A simple clip placed on your finger to measure the oxygen level in your blood within seconds.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,BNP Test,A blood test that measures a hormone released by your heart when it is under strain — used to detect heart failure.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,Spirometry,A breathing test where you blow into a device to measure how much air your lungs can hold and how fast you exhale.
Shortness of Breath,1,3,1,1,1,1,Urgent,Chest X-Ray,An imaging scan of your chest to check the size of your heart and look for fluid in or around the lungs.,BNP Test,A blood test that measures a hormone released by your heart when it is under strain — used to detect heart failure.,Pulse Oximetry,A simple clip placed on your finger to measure the oxygen level in your blood within seconds.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,Spirometry,A breathing test where you blow into a device to measure how much air your lungs can hold and how fast you exhale.
Shortness of Breath,0,3,1,0,0,0,Urgent,Pulse Oximetry,A simple clip placed on your finger to measure the oxygen level in your blood within seconds.,Chest X-Ray,An imaging scan of your chest to check the size of your heart and look for fluid in or around the lungs.,D-Dimer Test,A blood test that checks for abnormal blood clotting — often used to rule out a pulmonary embolism (clot in the lung).,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",BNP Test,A blood test that measures a hormone released by your heart when it is under strain — used to detect heart failure.
Shortness of Breath,1,3,1,0,1,1,Urgent,Chest X-Ray,An imaging scan of your chest to check the size of your heart and look for fluid in or around the lungs.,Pulse Oximetry,A simple clip placed on your finger to measure the oxygen level in your blood within seconds.,BNP Test,A blood test that measures a hormone released by your heart when it is under strain — used to detect heart failure.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,D-Dimer Test,A blood test that checks for abnormal blood clotting — often used to rule out a pulmonary embolism (clot in the lung).
Shortness of Breath,1,2,1,0,0,0,Urgent,Chest X-Ray,An imaging scan of your chest to check the size of your heart and look for fluid in or around the lungs.,Pulse Oximetry,A simple clip placed on your finger to measure the oxygen level in your blood within seconds.,BNP Test,A blood test that measures a hormone released by your heart when it is under strain — used to detect heart failure.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,D-Dimer Test,A blood test that checks for abnormal blood clotting — often used to rule out a pulmonary embolism (clot in the lung).,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.
Shortness of Breath,0,2,1,0,1,1,Urgent,Chest X-Ray,An imaging scan of your chest to check the size of your heart and look for fluid in or around the lungs.,Pulse Oximetry,A simple clip placed on your finger to measure the oxygen level in your blood within seconds.,BNP Test,A blood test that measures a hormone released by your heart when it is under strain — used to detect heart failure.,D-Dimer Test,A blood test that checks for abnormal blood clotting — often used to rule out a pulmonary embolism (clot in the lung).,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.
Dizziness,0,1,1,0,1,1,Soon,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Carotid Ultrasound,An ultrasound of the arteries in your neck to check for plaque buildup that could reduce blood flow to the brain.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues."
Dizziness,1,2,1,0,0,1,Soon,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.
Dizziness,0,3,1,0,0,1,Soon,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,Carotid Ultrasound,An ultrasound of the arteries in your neck to check for plaque buildup that could reduce blood flow to the brain.
Dizziness,0,2,0,0,1,0,Routine,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.
Dizziness,0,2,0,0,0,0,Routine,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,,
Dizziness,1,1,0,1,1,0,Soon,Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.,Carotid Ultrasound,An ultrasound of the arteries in your neck to check for plaque buildup that could reduce blood flow to the brain.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.
Dizziness,0,1,1,0,1,0,Routine,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.,Carotid Ultrasound,An ultrasound of the arteries in your neck to check for plaque buildup that could reduce blood flow to the brain.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues."
Dizziness,0,3,1,1,0,1,Soon,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,Thyroid Function Tests,A blood test that measures your thyroid hormone levels — an overactive or underactive thyroid can cause heart and energy symptoms.
Dizziness,1,2,0,0,0,1,Soon,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.
Dizziness,0,2,0,1,1,1,Soon,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Carotid Ultrasound,An ultrasound of the arteries in your neck to check for plaque buildup that could reduce blood flow to the brain.,Thyroid Function Tests,A blood test that measures your thyroid hormone levels — an overactive or underactive thyroid can cause heart and energy symptoms.
Dizziness,1,1,1,0,1,1,Soon,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.,Carotid Ultrasound,An ultrasound of the arteries in your neck to check for plaque buildup that could reduce blood flow to the brain.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.
Dizziness,0,3,0,0,0,1,Soon,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,Carotid Ultrasound,An ultrasound of the arteries in your neck to check for plaque buildup that could reduce blood flow to the brain.
Dizziness,0,2,0,0,1,1,Soon,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Carotid Ultrasound,An ultrasound of the arteries in your neck to check for plaque buildup that could reduce blood flow to the brain.,Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.
Dizziness,1,1,1,1,0,1,Soon,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues."
Dizziness,1,1,1,1,1,1,Soon,Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Carotid Ultrasound,An ultrasound of the arteries in your neck to check for plaque buildup that could reduce blood flow to the brain.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.
Dizziness,1,2,1,1,1,0,Soon,Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.
Dizziness,1,2,1,0,0,0,Routine,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.
Dizziness,0,2,0,1,0,0,Soon,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.
Dizziness,0,1,0,0,0,1,Soon,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Carotid Ultrasound,An ultrasound of the arteries in your neck to check for plaque buildup that could reduce blood flow to the brain.,Thyroid Function Tests,A blood test that measures your thyroid hormone levels — an overactive or underactive thyroid can cause heart and energy symptoms.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.
Dizziness,0,3,0,1,0,1,Soon,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,Thyroid Function Tests,A blood test that measures your thyroid hormone levels — an overactive or underactive thyroid can cause heart and energy symptoms.
Dizziness,1,3,1,0,0,1,Soon,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.
Dizziness,0,2,1,0,0,0,Routine,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,,
Dizziness,1,2,1,1,0,1,Soon,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.
Dizziness,1,2,1,1,0,0,Soon,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.
Dizziness,0,3,1,0,0,0,Routine,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,,
Dizziness,1,1,1,0,1,0,Routine,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,Carotid Ultrasound,An ultrasound of the arteries in your neck to check for plaque buildup that could reduce blood flow to the brain.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues."
Dizziness,0,1,0,1,0,1,Soon,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Thyroid Function Tests,A blood test that measures your thyroid hormone levels — an overactive or underactive thyroid can cause heart and energy symptoms.,Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.,Carotid Ultrasound,An ultrasound of the arteries in your neck to check for plaque buildup that could reduce blood flow to the brain.
Dizziness,1,1,1,1,0,0,Soon,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.
Dizziness,1,2,0,0,1,1,Soon,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.,Carotid Ultrasound,An ultrasound of the arteries in your neck to check for plaque buildup that could reduce blood flow to the brain.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.
Dizziness,0,1,1,1,1,0,Soon,Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,Carotid Ultrasound,An ultrasound of the arteries in your neck to check for plaque buildup that could reduce blood flow to the brain.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues."
Dizziness,0,2,0,0,0,1,Soon,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,Carotid Ultrasound,An ultrasound of the arteries in your neck to check for plaque buildup that could reduce blood flow to the brain.
Dizziness,0,3,0,0,0,0,Routine,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,,
Dizziness,1,1,0,0,0,0,Routine,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.
Dizziness,1,1,0,1,0,0,Soon,Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.
Dizziness,0,3,0,1,1,0,Urgent,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.
Dizziness,0,2,0,1,0,1,Soon,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Thyroid Function Tests,A blood test that measures your thyroid hormone levels — an overactive or underactive thyroid can cause heart and energy symptoms.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.
Dizziness,1,3,1,0,1,1,Urgent,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.
Dizziness,1,3,1,0,1,0,Urgent,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.
Dizziness,1,3,0,1,1,1,Urgent,Holter Monitor,A small wearable device that records your heart's rhythm continuously for 24–48 hours to catch irregular beats.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Brain MRI,A detailed scan of your brain using magnetic fields — used to rule out neurological causes of dizziness or fainting.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Carotid Ultrasound,An ultrasound of the arteries in your neck to check for plaque buildup that could reduce blood flow to the brain.,24-hr BP Monitoring,A small device worn on your arm for 24 hours that records your blood pressure at regular intervals throughout the day and night.
